DateTime,AddedIPs,RemovedIPs
1532032114,5,7
1532032818,3,14
1532033542,8,6
1532034261,4,0
1532034993,10,8
1532035953,3,13
1532036907,5,5
1532037621,7,8
1532038362,3,8
1532039311,15,13
1532040269,6,7
1532040977,5,0
1532041714,6,12
1532043403,10,15
1532044089,3,0
1532044834,11,1
1532045796,7,15
1532046519,2,7
1532047216,3,0
1532047928,4,6
1532048650,4,5
1532049397,11,7
1532050351,9,12
1532051316,14,12
1532052275,16,15
1532052984,6,13
1532053707,9,3
1532054422,8,8
1532055138,9,9
1532056103,9,7
1532057053,16,15
1532058017,5,5
1532058997,9,7
1532059940,12,5
1532060649,7,5
1532061372,5,7
1532062094,3,6
1532063074,9,8
1532064015,3,3
1532064737,8,0
1532065457,8,3
1532066167,4,3
1532066900,6,7
1532067858,3,2
1532068569,9,6
1532069298,5,0
1532070018,5,0
1532070742,4,4
1532071954,9,11
1532072662,3,3
1532073635,7,11
1532074345,3,0
1532075066,8,6
1532076026,111,7
1532076989,16,7
1532077701,9,5
1532078429,11,16
1532079144,3,19
1532079864,5,0
1532080578,1,14
1532081554,14,5
1532082283,8,8
1532083231,3,7
1532084185,4,10
1532085158,15,5
1532086113,7,4
1532087069,8,5
1532087778,3,6
1532088510,5,0
1532089474,8,13
1532090431,14,5
1532091224,8,3
1532091867,6,11
1532092582,6,8
1532093306,4,7
1532094267,9,4
1532095236,4,3
1532095941,8,10
1532096668,6,12
1532097387,6,5
1532098102,3,5
1532098833,5,4
1532099545,4,5
1532100260,1,2
1532100992,9,4
1532101969,3,7
1532102940,7,0
1532103862,7,7
1532104580,6,8
1532105309,7,0
1532106277,4,10
1532107225,25,6
1532108204,7,5
1532109149,9,9
1532110122,6,8
1532110817,5,9
1532111547,5,3
1532112265,9,9
1532112985,4,4
1532113955,6,3
1532114660,7,2
1532115382,7,7
1532116103,3,4
1532116846,10,4
1532117806,6,14
1532118752,12,6
1532119463,1,2
1532120180,5,8
1532120898,2,16
1532121630,6,4
1532122592,5,10
1532123301,4,0
1532124032,3,8
1532124741,5,0
1532125467,5,8
1532126180,4,7
1532128122,9,23
1532128817,2,0
1532129549,10,0
1532130507,8,10
1532131222,5,0
1532131952,3,10
1532132661,3,6
1532133382,6,6
1532134335,9,11
1532135051,6,3
1532135787,9,0
1532136487,9,11
1532137210,6,10
1532138172,16,17
1532138890,5,9
1532139616,3,9
1532140336,8,10
1532141051,12,14
1532141769,4,9
1532142491,8,0
1532143209,10,14
1532144192,4,4
1532145139,9,8
1532145861,1,10
1532146822,6,7
1532147791,11,10
1532148748,5,6
1532149718,7,8
1532150666,7,6
1532151628,4,11
1532152583,11,8
1532153556,8,6
1532154261,5,6
1532154988,3,6
1532155704,2,8
1532156427,2,5
1532157141,4,0
1532157867,7,5
