DateTime,Entries,UniqueIPs
1532029229,23423,24010
1532029941,23422,24009
1532030667,23423,24010
1532031380,23415,24002
1532032114,23410,23998
1532032818,23407,23995
1532033542,23411,23999
1532034261,23411,23999
1532034993,23413,24001
1532035953,23412,24000
1532036907,23414,24002
1532037621,23415,24003
1532038362,23413,24001
1532039311,23416,24004
1532040269,23418,24006
1532040977,23422,24010
1532041714,23419,24007
1532043403,23417,24005
1532044089,23414,24002
1532044834,23420,24009
1532045796,23417,24006
1532046519,23410,23999
1532047216,23407,23996
1532047928,23407,23996
1532048650,23404,23993
1532049397,23409,23998
1532050351,23397,23986
1532051316,23399,23988
1532052275,23406,23995
1532052984,23404,23993
1532053707,23402,23991
1532054422,23401,23990
1532055138,23398,23987
1532056103,23397,23987
1532057053,23397,23987
1532058017,23397,23987
1532058997,23391,23981
1532059940,23392,23982
1532060649,23388,23978
1532061372,23389,23979
1532062094,23384,23974
1532063074,23390,23980
1532064015,23389,23979
1532064737,23392,23982
1532065457,23395,23985
1532066167,23397,23987
1532066900,23391,23982
1532067858,23388,23979
1532068569,23390,23981
1532069298,23390,23981
1532070018,23392,23983
1532070742,23390,23981
1532071954,23385,23976
1532072662,23388,23979
1532073635,23390,23981
1532074345,23391,23982
1532075066,23393,23984
1532076026,23463,24056
1532076989,23462,24055
1532077701,23469,24062
1532078429,23467,24061
1532079144,23470,24064
1532079864,23468,24062
1532080578,23463,24057
1532081554,23467,24061
1532082283,23467,24061
1532083231,23466,24060
1532084185,23458,24052
1532085158,23458,24052
1532086113,23462,24056
1532087069,23463,24057
1532087778,23461,24055
1532088510,23457,24051
1532089474,23459,24053
1532090431,23455,24049
1532091224,23455,24049
1532091867,23456,24050
1532092582,23455,24049
1532093306,23454,24048
1532094267,23454,24048
1532095236,23448,24041
1532095941,23437,24027
1532096668,23436,24026
1532097387,23437,24027
1532098102,23439,24029
1532098833,23434,24024
1532099545,23435,24025
1532100260,23431,24021
1532100992,23435,24025
1532101969,23430,24020
1532102940,23430,24020
1532103862,23426,24016
1532104580,23430,24020
1532105309,23433,24023
1532106277,23423,24013
1532107225,23438,24029
1532108204,23437,24028
1532109149,23435,24026
1532110122,23437,24029
1532110817,23435,24027
1532111547,23439,24031
1532112265,23436,24028
1532112985,23436,24028
1532113955,23430,24022
1532114660,23424,24016
1532115382,23430,24022
1532116103,23433,24025
1532116846,23427,24019
1532117806,23427,24019
1532118752,23430,24022
1532119463,23423,24015
1532120180,23425,24017
1532120898,23421,24013
1532121630,23418,24010
1532122592,23419,24011
1532123301,23419,24011
1532124032,23419,24011
1532124741,23421,24013
1532125467,23421,24013
1532126180,23418,24010
1532128122,23409,24001
1532128817,23408,24000
1532129549,23411,24003
1532130507,23416,24008
1532131222,23413,24003
1532131952,23410,24000
1532132661,23408,23998
1532133382,23407,23997
1532134335,23408,23998
1532135051,23407,23997
1532135787,23397,23987
1532136487,23405,23995
1532137210,23403,23993
1532138172,23404,23994
1532138890,23398,23988
1532139616,23392,23982
1532140336,23393,23982
1532141051,23393,23982
1532141769,23391,23980
1532142491,23398,23987
1532143209,23392,23981
1532144192,23393,23981
1532145139,23392,23980
1532145861,23393,23981
1532146822,23389,23977
1532147791,23395,23983
1532148748,23394,23982
1532149718,23396,23984
1532150666,23395,23983
1532151628,23391,23979
1532152583,23393,23981
1532153556,23395,23983
1532154261,23395,23983
1532154988,23396,23984
1532155704,23392,23980
1532156427,23390,23978
1532157141,23385,23973
1532157867,23386,23974
1532158580,23388,23976
1532159413,23385,23973
1532160024,23384,23972
1532160733,23383,23971
1532161453,23387,23975
1532162170,23385,23973
1532162895,23390,23978
1532163867,23392,23980
1532164572,23393,23981
1532165290,23396,23984
1532166012,23395,23983
1532166752,23399,23985
1532167467,23401,23987
1532168189,23397,23983
1532168899,23402,23988
1532169627,23400,23986
1532170339,23377,23958
1532171065,23361,23921
1532171786,23360,23919
1532172503,23358,23917
1532173219,23355,23914
1532173943,23354,23913
1532174665,23352,23911
1532175403,23351,23910
1532176344,23348,23907
1532177054,23343,23902
1532177769,23345,23903
1532178739,23341,23899
1532179450,23336,23894
1532180173,23336,23894
1532181139,23333,23891
1532181855,23333,23891
1532182577,23327,23885
1532183538,23328,23886
1532184254,23329,23887
1532184970,23324,23882
1532185939,23321,23879
1532186927,23320,23878
1532187869,23314,23872
1532188840,23319,23877
1532189785,23321,23879
1532190489,23323,23881
1532191217,23325,23883
1532191928,23325,23883
1532192660,23325,23883
1532193370,23327,23885
1532194093,23327,23885
1532195057,23330,23888
1532195767,23329,23887
1532196499,23325,23883
1532197208,23326,23884
1532197940,23325,23883
1532198650,23321,23879
1532199371,23319,23877
1532200090,23323,23881
1532200807,23328,23886
1532201552,23326,23884
1532202271,23321,23879
1532202978,23328,23886
1532203704,23327,23885
1532204424,23326,23884
1532205144,23334,23896
1532205870,23340,23913
1532206585,23343,23917
1532207305,23340,23915
1532208026,23341,23916
1532208744,23338,23913
1532209468,23340,23915
1532210183,23342,23917
1532210905,23343,23918
1532211620,23345,23920
1532212347,23341,23916
1532213065,23340,23914
1532213778,23342,23916
1532214515,23345,23919
1532215466,23346,23920
1532216180,23343,23917
1532216905,23341,23915
1532217631,23339,23913
1532218354,23338,23912
1532219062,23337,23911
1532219782,23342,23911
1532220508,23341,23910
1532221236,23340,23909
1532222193,23343,23910
1532223150,23339,23906
1532223860,23353,23920
1532224583,23341,23908
1532225305,23346,23913
1532226028,23338,23905
1532226746,23337,23904
1532227466,23337,23904
1532228177,23335,23902
1532228914,23337,23904
1532229617,23333,23900
1532230351,23336,23903
1532231066,23336,23903
1532231787,23335,23901
1532232752,23339,23905
1532233460,23335,23901
1532234186,23335,23901
1532234904,23333,23899
1532235636,23334,23900
1532236594,23331,23897
1532237797,23329,23895
1532238747,23326,23892
1532239716,23329,23895
1532240420,23327,23892
1532241147,23330,23895
1532241862,23325,23890
1532242581,23328,23893
1532243556,23329,23894
1532244261,23330,23896
1532244982,23334,23900
1532245701,23335,23901
1532246681,23337,23903
1532247385,23338,23905
1532248101,23339,23906
1532249072,23335,23902
1532249780,23332,23899
1532250516,23337,23904
1532251465,23342,23908
1532252181,23340,23908
1532252904,23341,23909
1532253639,23338,23906
1532254339,23338,23906
1532255297,23337,23906
1532256261,23334,23905
1532257228,23339,23910
1532257930,23339,23910
1532258658,23337,23908
1532259369,23340,23911
1532260116,23343,23914
1532260840,23339,23910
1532261538,23340,23911
