DateTime,AddedIPs,RemovedIPs
1532032114,41,44
1532032818,39,53
1532033542,53,27
1532034261,25,35
1532034993,52,49
1532035953,32,29
1532036907,35,48
1532037621,47,27
1532038362,32,41
1532039311,53,55
1532040269,43,33
1532040977,36,38
1532041714,31,54
1532043403,64,51
1532044089,37,52
1532044834,50,30
1532045796,44,36
1532046519,26,36
1532047216,39,48
1532047928,41,31
1532048650,36,41
1532049397,37,34
1532050351,41,30
1532051316,38,38
1532052275,47,63
1532052984,47,40
1532053707,32,41
1532054422,43,31
1532055138,34,38
1532056103,33,49
1532057053,54,55
1532058017,38,60
1532058997,63,26
1532059940,37,33
1532060649,30,31
1532061372,28,32
1532062094,30,43
1532063074,47,30
1532064015,24,50
1532064737,43,25
1532065457,30,46
1532066167,34,31
1532066900,35,39
1532067858,43,41
1532068569,47,26
1532069298,21,37
1532070018,39,41
1532070742,44,43
1532071954,52,43
1532072662,32,30
1532073635,42,36
1532074345,28,40
1532075066,35,79
1532076026,141,30
1532076989,43,33
1532077701,31,39
1532078429,85,60
1532079144,60,28
1532079864,31,50
1532080578,45,35
1532081554,59,36
1532082283,33,51
1532083231,47,38
1532084185,32,40
1532085158,46,52
1532086113,63,55
1532087069,48,43
1532087778,25,53
1532088510,49,82
1532089474,99,29
1532090431,43,34
1532091224,29,27
1532091867,30,31
1532092582,37,60
1532093306,51,34
1532094267,45,52
1532095236,52,49
1532095941,50,42
1532096668,40,49
1532097387,50,29
1532098102,24,51
1532098833,46,40
1532099545,41,42
1532100260,38,30
1532100992,39,31
1532101969,35,33
1532102940,37,29
1532103862,30,40
1532104580,38,34
1532105309,38,36
1532106277,39,46
1532107225,70,72
1532108204,45,68
1532109149,68,43
1532110122,44,24
1532110817,24,56
1532111547,48,31
1532112265,36,42
1532112985,32,24
1532113955,28,47
1532114660,36,34
1532115382,40,41
1532116103,32,28
1532116846,31,49
1532117806,55,45
1532118752,43,56
1532119463,37,35
1532120180,29,31
1532120898,42,24
1532121630,22,40
1532122592,36,67
1532123301,56,55
1532124032,60,41
1532124741,34,37
1532125467,31,21
1532126180,24,35
1532128122,42,146
1532128817,117,49
1532129549,59,52
1532130507,45,52
1532131222,46,24
1532131952,28,29
1532132661,26,18
1532133382,31,29
1532134335,36,41
1532135051,34,35
1532135787,35,36
1532136487,40,44
1532137210,39,24
1532138172,38,50
1532138890,24,39
1532139616,31,31
1532140336,33,31
1532141051,37,28
1532141769,26,30
1532142491,32,33
1532143209,38,33
1532144192,28,57
1532145139,55,43
1532145861,42,20
1532146822,23,24
1532147791,34,44
1532148748,40,25
1532149718,30,83
1532150666,75,54
1532151628,44,28
1532152583,47,32
1532153556,37,60
1532154261,48,50
1532154988,48,73
1532155704,59,38
1532156427,34,105
1532157141,121,33
1532157867,44,32
1532158580,39,32
1532159413,32,44
1532160024,30,34
1532160733,46,61
1532161453,55,78
1532162170,70,64
1532162895,82,36
1532163867,37,17
1532164572,28,50
1532165290,37,30
1532166012,54,48
1532166752,52,41
1532167467,25,67
1532168189,55,38
1532168899,50,41
1532169627,35,38
1532170339,31,39
1532171065,46,29
1532171786,33,22
1532172503,20,41
1532173219,45,24
1532173943,21,27
1532174665,22,18
1532175403,17,48
1532176344,55,27
1532177054,26,35
1532177769,49,107
1532178739,69,101
1532179450,133,43
1532180173,44,28
1532181139,39,49
1532181855,58,20
1532182577,25,38
1532183538,33,31
1532184254,35,46
1532184970,35,49
1532185939,45,59
1532186927,67,48
1532187869,40,138
1532188840,149,33
1532189785,33,38
1532190489,44,26
1532191217,23,58
1532191928,57,29
1532192660,31,66
1532193370,57,46
1532194093,48,75
1532195057,91,38
1532195767,34,31
1532196499,33,19
1532197208,17,48
1532197940,47,49
1532198650,40,87
1532199371,79,65
1532200090,89,37
1532200807,32,45
1532201552,57,34
1532202271,28,35
1532202978,47,39
1532203704,26,13
1532204424,22,95
1532205144,118,36
1532205870,55,48
1532206585,27,60
1532207305,23,23
1532208026,29,25
1532208744,25,35
1532209468,30,49
1532210183,36,29
1532210905,27,34
1532211620,23,27
1532212347,27,34
1532213065,33,35
1532213778,32,32
1532214515,41,26
1532215466,28,42
1532216180,23,25
1532216905,14,27
1532217631,25,28
1532218354,34,23
1532219062,20,66
1532219782,52,103
1532220508,117,35
1532221236,30,33
1532222193,40,30
1532223150,26,38
1532223860,42,26
