DateTime,AddedIPs,RemovedIPs
1531757147,84,62
1531757658,13,1
1531758512,63,0
1531759745,97,75
1531761273,70,104
1531762863,64,101
1531764392,62,65
1531765831,55,64
1531767386,39,11
1531769309,113,35
1531772070,106,118
1531772905,39,0
1531773740,90,52
1531775669,92,57
1531776921,50,48
1531779033,132,47
1531780111,22,0
1531781721,65,119
1531782869,28,47
1531783717,35,0
1531784936,81,88
1531786227,44,42
1531786465,5,0
1531787301,19,0
1531788926,58,75
1531790074,26,46
1531790902,44,2
1531791741,57,63
1531792595,51,1
1531793662,42,97
1531794514,16,1
1531795344,31,82
1531796736,52,31
1531798123,36,0
1531799422,29,50
1531800638,40,52
1531800873,7,0
1531802540,65,72
1531804469,52,42
1531806150,74,83
1531806989,36,0
1531808132,26,32
1531808911,54,0
1531810296,44,96
1531811434,16,65
1531812511,27,1
1531815264,131,130
1531816950,71,66
1531817784,37,1
1531818931,36,36
1531820539,37,62
1531821384,28,0
1531822464,54,87
1531823728,72,52
1531825528,58,57
1531826838,84,2
1531827943,46,72
1531829433,373,35
1531831343,171,146
1531832732,55,70
1531833923,52,0
1531834939,30,81
1531836860,170,42
1531838549,84,50
1531839381,22,1
1531840468,37,136
1531842151,68,81
1531844067,110,60
1531845745,65,69
1531846860,55,75
1531847669,38,1
1531848935,72,81
1531850114,39,31
1531851333,69,40
1531852863,44,99
1531853783,33,0
1531854923,51,61
1531855700,26,0
1531856538,46,51
1531858459,74,33
1531859308,68,1
1531860980,93,94
1531862127,30,57
1531863741,36,46
1531865433,55,58
1531867346,55,84
1531868182,63,0
1531869266,29,163
1531870869,81,115
1531872863,128,68
1531873708,35,0
1531875383,68,87
1531876470,46,66
1531878150,84,128
1531879833,80,40
1531881744,70,65
1531883675,61,74
1531885347,93,60
1531887039,81,55
1531888956,69,65
1531889796,24,0
1531890862,44,56
1531891713,30,0
1531894468,99,201
1531895643,72,52
1531898064,110,81
1531899749,99,141
1531901668,127,40
1531902499,24,0
1531904020,68,88
1531905266,47,67
1531906830,88,82
1531907780,34,0
1531908924,87,86
1531910492,64,111
1531911931,50,58
1531913431,48,91
1531914140,32,17
1531914982,33,0
1531916065,58,88
1531917667,105,164
1531918587,42,1
1531919671,55,91
1531920506,104,0
1531922191,88,81
1531923330,56,126
1531924948,57,70
1531927231,117,101
1531928539,55,121
1531930466,103,69
1531931299,23,4
1531932998,31,105
1531934137,50,38
1531935344,74,79
1531936525,65,22
1531937666,66,20
1531938504,31,1
1531940119,92,119
1531942106,61,63
1531943786,72,111
1531944858,39,73
1531946549,60,128
1531948471,82,97
1531949729,64,36
1531951839,86,80
1531952068,3,0
1531953670,46,85
1531954582,31,1
1531955726,35,72
1531957249,54,53
1531959032,83,56
1531960943,109,102
1531962311,57,65
1531963716,92,0
1531965025,71,87
1531965388,10,1
1531966530,77,56
1531967881,44,45
1531968157,7,0
1531968989,26,0
1531970130,45,49
1531971750,50,71
1531972583,47,1
1531973662,44,69
1531975264,78,70
1531976194,41,0
1531977273,82,50
1531978101,31,1
1531979251,67,76
1531980628,72,36
1531983379,146,75
1531984522,66,46
1531985312,35,1
1531986920,64,92
1531988073,57,76
1531989926,78,48
1531991658,88,57
1531992499,38,1
1531994180,83,117
1531995282,53,32
1531996532,59,91
1531997732,106,26
1531998866,66,41
1532000461,90,185
1532001393,42,0
1532002458,64,42
1532004516,108,78
1532005832,78,114
1532006899,56,1
1532008585,94,126
1532009671,43,71
1532011340,63,96
1532012179,51,0
1532013272,44,44
1532014858,67,100
1532016181,112,44
1532017838,52,81
1532019347,124,28
1532020472,111,55
1532022153,133,82
1532024066,96,40
1532025742,81,58
1532027667,81,77
1532028507,26,0
1532029350,62,94
1532030193,58,0
1532031327,30,97
1532032106,27,0
1532033778,87,67
1532034879,34,33
1532036121,34,53
1532038233,88,92
1532039306,27,0
1532041532,69,165
1532042926,44,0
1532045431,145,205
1532047346,122,77
1532048195,30,1
1532049268,45,105
1532050111,25,2
1532050941,28,85
1532052341,66,56
1532053838,71,72
1532054550,36,0
1532055394,29,0
1532057307,97,87
1532058148,30,125
1532060061,85,44
1532061755,82,102
1532062582,68,0
1532063735,41,33
1532064503,43,1
1532066127,100,78
1532067270,69,70
1532068529,45,59
1532070326,87,129
1532070871,47,0
1532073381,150,111
1532074469,50,71
1532076120,119,89
1532078060,124,87
1532079320,74,116
1532080581,37,28
1532081731,54,43
1532082926,68,63
1532084732,63,83
1532085266,29,0
1532086100,27,1
1532087728,105,163
1532088867,43,64
1532089705,61,0
1532091026,42,169
1532092230,60,46
1532092466,15,0
1532093735,62,76
1532095603,86,71
1532097327,47,103
1532097749,13,0
1532098594,20,0
1532099677,47,81
1532101257,100,75
1532103259,80,35
1532104944,88,113
1532105791,37,0
1532106872,44,67
1532107709,35,1
1532110232,81,204
1532112140,49,53
1532114066,44,78
1532115844,93,51
1532117666,64,92
1532118514,42,0
1532119346,21,132
1532120186,23,0
1532121328,33,69
1532122528,46,31
1532124633,41,62
1532127382,94,79
1532128468,60,51
1532132068,78,190
1532132916,33,0
1532133740,20,99
1532135668,50,87
1532137356,36,138
1532138184,18,2
1532139271,22,42
1532140541,37,55
1532141787,55,20
1532142871,22,53
1532144543,55,97
1532145746,44,59
1532147602,58,85
1532149534,57,97
1532150902,28,0
1532152535,67,100
1532153661,49,91
1532155264,64,117
1532157261,102,49
1532158106,42,1
1532159780,92,122
1532160870,40,44
1532162463,73,127
1532163929,54,64
1532165456,56,74
1532166145,30,0
1532168070,70,119
1532168905,51,0
1532169748,33,160
1532171671,146,65
1532172934,76,108
1532174180,50,21
1532175268,29,71
1532176100,31,0
1532176953,41,104
1532177790,34,1
1532178938,50,106
1532180458,43,78
1532181824,92,71
1532183308,49,0
1532184148,17,57
1532186061,89,131
1532187739,64,103
1532189670,117,90
1532190506,39,0
1532191824,47,182
1532193033,26,63
1532194250,64,112
1532195359,43,0
1532196867,28,72
1532198460,53,107
1532200460,78,72
1532201308,29,0
1532202141,33,61
1532203835,77,120
1532205743,135,82
1532207132,38,50
1532208392,36,1
1532209347,26,76
1532210182,26,0
1532211260,27,34
1532212109,21,0
1532213645,47,63
1532214861,25,96
1532215701,18,0
1532216552,27,151
1532217392,59,0
1532218468,36,54
1532219733,28,70
1532220929,36,0
1532222135,60,70
1532223336,73,85
1532224524,46,0
1532225733,45,83
1532227352,48,104
1532228185,26,0
1532229334,65,53
1532230102,19,0
1532230959,44,97
1532231785,23,0
1532232932,31,81
1532233712,21,1
1532234543,25,142
1532235391,68,2
1532236532,39,70
1532238063,55,119
1532239379,60,52
1532241042,38,121
1532242221,29,0
1532243434,56,78
1532243672,5,0
1532244501,42,2
1532245342,35,108
1532246998,54,91
1532248862,56,160
1532249782,18,0
1532250932,88,36
1532252298,44,83
1532254226,60,69
1532254490,17,0
1532256140,95,102
1532257525,78,79
1532258901,53,0
1532259752,39,100
1532261661,55,64
1532262926,17,83
1532264120,46,1
1532265272,40,85
1532266861,41,101
1532268234,26,348
1532269710,25,0
1532271031,36,142
1532272234,47,58
1532272465,13,1
1532273734,132,98
1532276071,68,79
1532278592,54,69
1532279670,17,63
1532280927,55,52
1532282134,38,0
1532283327,39,30
1532284117,32,0
1532285781,63,93
1532287714,76,57
1532289707,58,124
1532291306,46,0
1532292143,47,92
1532292986,30,0
1532294064,20,30
1532295747,36,36
1532296594,19,0
1532297735,33,90
1532299347,37,69
1532301263,49,36
1532302945,51,107
1532304613,49,35
1532305712,55,0
1532307158,55,72
1532308526,49,23
1532309309,40,0
1532312918,157,117
1532314230,60,68
1532315449,43,42
1532316677,74,80
1532317388,44,0
1532318190,37,0
1532319616,60,54
1532320715,78,45
1532322335,121,76
1532323525,62,0
1532325383,115,92
1532326458,51,52
1532328036,74,85
1532329153,35,92
1532330454,86,4
1532331661,57,107
1532333665,55,43
1532335347,54,93
1532336496,39,42
1532337634,61,0
1532338943,43,85
1532340230,30,95
1532341836,71,115
1532343026,64,0
1532344229,43,75
1532344470,10,0
1532346140,62,54
1532346989,40,0
1532348067,31,92
1532348899,40,2
1532349741,35,77
1532351673,53,51
1532353345,69,100
1532355032,125,42
1532356945,73,97
1532358261,50,60
1532359706,75,0
1532361391,57,105
1532362459,50,31
1532363299,41,0
1532366066,77,118
1532366911,25,1
1532369666,67,96
1532371329,90,67
1532373261,65,55
1532374953,91,179
1532376622,83,38
1532379927,130,117
1532381035,38,0
1532383845,62,99
1532385750,56,42
1532387674,46,77
1532388510,14,1
1532389341,16,59
1532390815,56,39
1532392940,51,114
1532393780,27,0
1532395707,51,29
1532397330,46,67
1532398537,31,46
1532400159,48,88
1532402070,92,57
1532403329,24,45
1532405085,55,94
1532405676,21,0
1532407265,55,89
1532408740,53,56
1532410102,44,3
1532410954,29,59
1532411779,39,0
