DateTime,AddedIPs,RemovedIPs
1532022214,6,16
1532023173,11,8
1532024133,10,4
1532024854,7,2
1532025573,2,4
1532026293,3,3
1532027014,13,6
1532027733,5,7
1532028452,10,2
1532029173,6,2
1532029894,4,6
1532030613,11,6
1532031334,5,7
1532032053,11,2
1532032772,11,4
1532033493,8,3
1532034213,3,5
1532034933,5,7
1532035893,7,4
1532036853,8,5
1532037573,1,3
1532038293,12,3
1532039253,5,4
1532040213,9,10
1532040933,5,3
1532041653,4,1
1532043814,18,11
1532044774,8,3
1532045732,8,0
1532046933,4,5
1532047653,6,2
1532048373,4,8
1532049274,2,6
1532050296,8,4
1532051253,6,5
1532052214,9,8
1532052933,2,1
1532053653,6,1
1532054852,8,5
1532055573,1,2
1532056534,3,2
1532057493,3,4
1532058453,2,1
1532059413,10,6
1532060132,5,5
1532061093,1,8
1532061812,10,3
1532062533,3,5
1532063493,6,2
1532064212,2,1
1532064932,2,3
1532065893,5,9
1532066613,6,2
1532067333,6,7
1532068293,13,6
1532069012,7,4
1532069734,6,3
1532070453,4,4
1532071172,6,2
1532071892,4,4
1532072613,6,4
1532073574,5,8
1532074293,8,4
1532075013,5,4
1532075973,5,7
1532076932,13,3
1532077653,6,5
1532078373,2,4
1532079093,1,3
1532079813,17,9
1532080532,7,6
1532081493,19,5
1532082212,3,4
1532083173,9,7
1532084133,4,3
1532085093,10,11
1532086053,6,8
1532087014,13,4
1532087733,6,9
1532088453,8,3
1532089413,2,6
1532090373,6,2
1532091093,6,4
1532091814,7,7
1532092533,7,2
1532093253,4,5
1532094213,5,2
1532095173,3,5
1532095893,5,5
1532096613,5,8
1532097333,4,4
1532098053,3,0
1532098774,2,2
1532099494,1,17
1532100214,3,3
1532100933,3,6
1532101893,7,7
1532102853,6,2
1532103813,13,10
1532104533,4,11
1532105253,4,1
1532106213,7,9
1532107173,35,9
1532108134,9,8
1532109094,6,6
1532110054,6,10
1532110773,3,3
1532111493,6,6
1532112213,10,3
1532112935,7,7
1532113893,8,11
1532114614,6,6
1532115333,9,6
1532116052,10,5
1532116772,7,9
1532117733,9,6
1532118693,11,11
1532119413,9,7
1532120133,7,9
1532120852,6,3
1532121573,10,5
1532122533,17,6
1532123253,10,6
1532123973,3,1
1532124694,10,11
1532125413,7,0
1532126134,4,6
1532128053,14,15
1532128773,5,1
1532129493,3,3
1532130452,6,15
1532131173,5,3
1532131893,10,6
1532132613,14,4
1532133813,6,8
1532134533,6,3
1532135252,7,2
1532136213,12,5
1532136933,8,3
1532137653,9,5
1532138373,5,5
1532139093,8,2
1532139812,6,2
1532140773,5,8
1532141493,8,4
1532142212,9,0
1532142933,2,2
1532143653,5,2
1532144617,5,3
1532145334,4,0
1532146293,6,12
1532147014,4,2
1532147733,4,1
1532148693,6,10
1532149653,9,6
1532150613,8,2
1532151573,11,4
1532152533,3,5
1532153493,12,5
1532154214,7,10
1532154933,4,6
1532155653,6,4
1532156373,2,4
1532157093,5,4
1532157814,2,8
1532158533,18,1
1532159733,10,6
1532160453,4,8
1532161172,4,5
1532161893,6,3
1532162613,7,2
1532163333,13,12
1532164293,4,7
1532165013,5,3
1532165733,6,2
1532166693,10,16
1532167414,5,6
1532168133,2,15
1532168853,4,4
1532169572,9,4
1532170293,8,3
1532171013,9,4
1532171732,5,7
1532172453,5,3
1532173174,8,11
1532173893,4,5
1532174613,5,8
1532175813,9,3
1532176533,3,3
1532177253,7,6
1532178213,3,10
1532179172,10,3
1532179893,3,4
1532180613,5,2
1532181334,7,1
1532182053,9,6
1532183013,3,5
1532183973,13,4
1532184693,4,1
1532185412,4,1
1532186132,3,1
1532186853,6,6
1532187814,7,7
1532189253,9,12
1532189973,9,8
1532190692,3,7
1532191653,6,2
1532192373,27,10
1532193094,4,31
1532193813,5,5
1532194533,5,6
1532195494,5,5
1532196213,4,3
1532196933,4,4
1532197653,5,4
1532198374,9,7
1532199092,4,6
1532199813,3,5
1532200533,8,8
1532201493,8,6
1532202213,5,8
1532202933,5,9
1532203653,5,5
1532204374,1,8
1532205093,4,10
1532205813,8,8
1532206533,4,5
1532207252,6,5
1532207973,9,6
1532208694,3,13
1532209414,2,7
1532210134,1,7
1532210853,8,5
1532211574,4,9
1532212294,3,4
1532213013,4,2
1532213733,8,4
1532214419,5,6
1532215414,6,6
1532216133,6,2
1532216853,7,5
1532217574,5,5
1532218294,1,8
1532219013,1,11
1532219734,6,6
1532220454,2,5
1532221177,5,5
1532222134,10,9
1532223093,5,9
1532223813,5,11
1532224533,3,7
1532225253,8,4
1532225973,1,7
1532226693,4,4
1532227418,1,2
1532228133,5,9
1532228853,3,6
1532229574,5,3
1532230293,0,5
1532231012,5,3
1532231742,1,2
1532232692,6,5
1532233413,7,4
1532234133,2,5
1532234853,4,3
1532235574,5,7
1532236533,4,6
1532237733,9,14
1532238693,5,3
1532239653,10,7
1532240373,5,6
1532241093,5,2
1532241812,5,7
1532242533,3,3
1532243494,2,10
1532244213,5,2
1532244932,4,16
1532245654,4,7
1532246613,4,7
1532247333,5,5
1532248054,2,2
1532249013,4,6
1532249732,2,15
1532250453,5,3
1532251413,4,3
1532252133,2,7
1532252855,4,7
1532254053,2,8
1532254773,9,2
1532255734,5,7
1532256695,8,11
1532257414,3,8
1532258132,6,6
1532259093,1,4
1532260054,6,10
1532261253,6,7
1532261973,5,5
1532262692,2,2
1532263412,3,4
1532264374,3,4
1532265094,2,8
1532265813,2,2
1532266534,6,5
1532267253,4,6
1532267973,7,7
1532268692,4,8
1532269413,4,2
1532270133,5,3
1532270853,3,6
1532271573,5,3
1532272292,2,5
1532273013,3,3
1532273733,8,5
1532274694,6,8
1532275654,6,5
1532276612,5,10
1532277333,4,2
1532279013,27,33
1532279733,16,5
1532280453,9,7
1532281173,4,4
1532281894,9,5
1532282612,8,3
1532283333,21,3
1532284053,5,4
1532284773,3,7
1532285733,5,6
1532286454,3,3
1532287174,5,10
1532287893,5,2
1532288852,7,5
1532289813,4,5
1532290773,3,6
1532291492,2,4
1532292214,3,6
1532293174,3,7
1532294133,3,9
1532294853,3,5
1532295573,3,6
1532296293,3,2
1532297014,7,4
1532297733,3,6
1532298452,7,4
1532299174,7,3
1532299896,7,13
1532300613,2,2
1532301573,2,7
1532302533,7,6
1532303494,8,8
1532304453,1,7
1532305173,2,1
1532305893,4,2
1532306852,8,6
1532308293,7,10
1532309013,7,10
1532309733,3,5
1532310693,4,4
1532311413,3,8
1532312133,2,6
1532313093,13,6
1532314054,2,5
1532314772,3,4
1532315493,5,3
1532316971,5,3
1532317894,2,6
1532318853,3,5
1532319814,7,6
1532320773,6,4
1532321733,13,3
1532322693,8,8
1532323413,4,4
1532324133,3,5
1532324853,51,5
1532326053,3,11
1532327013,3,7
1532327734,3,4
1532328453,3,4
1532329413,7,3
1532330373,7,3
1532331093,3,4
1532331813,3,3
1532332773,6,5
1532333974,8,11
1532334693,4,1
1532335412,5,5
1532336853,8,7
1532337573,1,3
1532338293,2,1
1532339013,1,4
1532339733,5,3
1532342373,17,16
1532343093,3,6
1532343813,2,3
1532344534,9,6
1532345252,2,0
1532345974,2,2
1532346693,3,4
1532347413,4,3
1532348133,7,2
1532348854,2,3
1532349573,6,2
1532350293,5,3
1532351013,6,3
1532351733,5,2
1532352453,2,0
