DateTime,AddedIPs,RemovedIPs
1532070254,140,149
1532070759,9,3
1532071257,133,117
1532071961,9,0
1532072416,166,136
1532073156,9,5
1532073642,136,84
1532074099,0,2
1532074577,26,114
1532075072,14,5
1532075540,148,130
1532076032,9,6
1532076497,156,172
1532076995,3,2
1532077456,117,14
1532077943,8,0
1532078476,161,203
1532078896,6,2
1532079608,207,160
1532079870,8,11
1532080584,184,180
1532081068,16,9
1532081560,164,155
1532082289,21,3
1532082775,182,168
1532083239,15,0
1532083700,172,106
1532084191,21,2
1532084658,154,20
1532085165,19,2
1532085644,176,54
1532086120,9,3
1532086584,163,162
1532087075,8,3
1532088054,177,576
1532088986,179,22
1532089947,179,256
1532090898,150,20
1532091875,222,233
1532092813,181,149
1532093777,165,30
1532094806,169,262
1532095706,157,14
1532096684,212,246
1532097619,160,19
1532098585,169,338
1532099553,152,153
1532100496,16,4
1532100998,200,168
1532101459,8,0
1532101976,173,150
1532102439,6,6
1532102947,144,169
1532103382,7,0
1532103895,191,141
1532104347,16,4
1532104809,180,187
1532105315,7,0
1532105772,180,146
1532106283,9,2
1532106771,176,170
1532107231,7,4
1532107708,135,125
1532108210,2,2
1532108709,189,148
1532109156,4,2
1532109618,199,160
1532110128,2,0
1532110582,225,151
1532111056,5,2
1532111553,195,160
1532112021,7,4
1532112490,170,135
1532112991,7,0
1532113459,216,25
1532113962,3,3
1532114416,230,233
1532114888,4,3
1532115394,199,155
1532115859,4,1
1532116334,193,170
1532116852,12,0
1532117303,203,177
1532117812,12,2
1532118274,197,149
1532118758,13,5
1532119213,167,150
1532119695,14,7
1532120220,161,154
1532120668,4,0
1532121141,195,120
1532121636,6,2
1532122095,134,136
1532122650,9,2
1532123599,172,155
1532124502,155,136
1532125478,176,125
1532126417,168,168
1532128143,193,262
1532129088,164,22
1532130016,155,169
1532130976,160,20
1532131976,160,150
1532132906,205,169
1532133873,173,151
1532134821,161,145
1532135794,155,151
1532136739,197,139
1532137711,172,183
1532138659,141,163
1532139623,176,190
1532140827,159,146
1532141811,181,165
1532142759,170,183
1532143727,182,152
1532144664,11,4
1532145381,223,334
1532145905,11,3
1532146349,140,172
1532146828,6,9
1532147294,151,150
1532147797,14,3
1532148294,170,162
1532148755,9,1
1532149231,187,163
1532149724,4,2
1532150193,144,156
1532150672,13,2
1532151143,191,91
1532151636,3,7
1532152103,139,153
1532152589,7,2
