DateTime,AddedIPs,RemovedIPs
1531934178,4,17
1531935148,6,19
1531936089,6,9
1531937077,8,13
1531938007,5,0
1531938971,3,10
1531939931,5,0
1531940913,5,11
1531942620,11,10
1531943532,5,6
1531944503,7,9
1531945461,5,5
1531946423,7,19
1531947373,4,5
1531948350,4,2
1531949290,6,9
1531950313,8,4
1531951219,6,2
1531952172,7,6
1531953144,7,8
1531954105,6,5
1531955060,9,4
1531956049,10,12
1531957001,10,10
1531957978,12,4
1531958896,1,7
1531959855,7,9
1531960829,14,13
1531961786,11,17
1531962751,2,13
1531963696,9,16
1531964674,10,16
1531965643,8,8
1531966580,11,22
1531967570,10,20
1531968490,4,12
1531969474,8,6
1531970426,12,5
1531971384,7,4
1531972361,14,4
1531973326,14,8
1531974493,16,14
1531975480,17,13
1531976443,9,4
1531977411,9,7
1531978363,12,7
1531979302,8,8
1531980261,7,6
1531981264,8,8
1531982170,21,0
1531983653,21,11
1531984812,14,7
1531985790,6,1
1531986731,16,15
1531987697,6,5
1531988654,18,3
1531989625,25,17
1531990578,13,11
1531991557,20,15
1531992512,9,12
1531993477,11,5
1531994441,11,0
1531995411,14,4
1531996357,10,11
1531997325,12,8
1531998279,0,4
1531999240,1,6
1532000200,4,8
1532001165,0,3
1532002118,0,2
1532003083,6,4
1532004139,19,4
1532005463,24,15
1532006408,18,6
1532007389,24,5
1532008334,12,10
1532009316,9,12
1532010263,19,8
1532011226,16,4
1532012177,12,6
1532013147,8,3
1532014092,12,2
1532015074,5,7
1532016025,4,6
1532016982,11,8
1532017938,15,10
1532018894,11,5
1532019879,10,6
1532020809,9,12
1532021770,5,10
1532022736,6,5
1532023801,13,4
1532024903,13,5
1532025868,9,7
1532026821,2,3
1532027803,9,10
1532028741,10,0
1532029698,13,3
1532030673,4,6
1532031612,10,1
1532032571,7,0
1532033557,7,3
1532035465,9,1
1532036421,5,5
1532037396,6,8
1532038370,13,5
1532039317,3,6
1532040275,3,12
1532041222,5,6
1532042191,12,5
1532043409,6,9
1532044329,15,0
1532045333,7,25
1532046260,13,14
1532047222,11,0
1532048437,14,25
1532049403,10,10
1532050357,15,9
1532051322,13,10
1532052281,12,11
1532053212,20,6
1532054180,12,10
1532055201,13,6
1532056109,4,9
1532057059,14,12
1532058023,19,6
1532059003,14,7
1532059946,7,9
1532061148,14,13
1532062100,20,6
1532063080,9,6
1532064021,15,21
1532064982,10,5
1532065945,1,15
1532066906,9,6
1532067865,21,11
1532068814,5,19
1532069784,17,0
1532070759,14,11
1532071961,15,3
1532073156,9,16
1532074099,3,8
1532075072,14,23
1532076032,21,24
1532076995,15,19
1532077943,12,0
1532078896,15,12
1532079870,21,25
1532081068,28,29
1532082289,39,14
1532083239,19,6
1532084191,26,5
1532085165,29,10
1532086120,19,5
1532087075,15,13
1532088052,18,6
1532088978,16,8
1532089946,15,9
1532090897,11,11
1532091874,10,12
1532092811,19,9
1532093776,21,0
1532094789,16,15
1532095704,9,0
1532096674,21,13
1532097618,14,0
1532098572,14,4
1532099552,18,12
1532100496,15,15
1532101459,15,0
1532102439,14,17
1532103382,13,0
1532104347,28,14
1532105315,7,1
1532106283,13,8
1532107231,13,11
1532108210,5,7
1532109156,7,6
1532110128,4,0
1532111056,8,6
1532112021,12,11
1532112991,10,2
1532113962,3,8
1532114888,6,13
1532115859,12,6
1532116852,24,5
1532117812,18,5
1532118758,22,13
1532119695,20,17
1532120668,5,3
1532121636,9,12
1532122650,13,9
1532123561,21,6
1532124501,13,8
1532125476,16,9
1532126415,7,14
1532128128,19,26
1532129087,16,6
1532130014,11,18
1532130975,18,5
1532131974,12,8
1532132886,7,15
1532133872,12,15
1532134819,12,0
1532135793,5,6
1532136738,18,13
1532137710,9,11
1532138657,5,5
1532139622,19,19
1532140825,19,8
1532141775,10,3
1532142743,14,17
1532143702,11,13
1532144664,17,11
1532145905,13,9
1532146828,10,16
1532147797,17,8
1532148755,21,4
1532149724,13,10
1532150672,21,10
1532151636,11,10
1532152589,18,9
1532153562,9,20
1532154491,12,21
1532155472,33,15
1532156434,10,8
1532157377,0,5
1532158339,1,0
1532159421,1,11
1532160500,3,25
1532161467,9,0
1532162409,28,21
1532163380,24,21
1532164351,43,23
1532165296,22,0
1532166265,25,11
1532167218,20,11
1532168203,21,10
1532169137,25,11
1532170092,18,5
1532171071,14,1
1532172008,24,0
1532172970,22,4
1532173956,13,0
1532174896,15,4
1532175876,18,14
1532176809,14,16
1532177775,10,16
1532178745,12,12
1532179690,13,24
1532180666,16,9
1532181626,22,5
1532182589,17,16
1532183544,19,14
1532184496,16,14
1532185466,15,5
1532186440,21,14
1532187380,19,8
1532188348,23,8
1532189349,15,17
1532190259,9,12
1532191223,29,3
1532192170,23,9
1532193147,24,9
1532194099,21,10
1532195069,19,10
1532196023,9,13
1532196986,14,6
1532198047,15,6
1532199142,17,12
1532200101,8,8
1532201051,15,8
1532202010,19,10
1532202985,13,11
1532203940,13,9
1532204891,14,8
1532205898,16,5
1532207059,11,2
1532208032,11,10
1532209028,20,11
1532209947,12,4
1532210911,5,21
1532212096,21,3
1532213076,15,12
1532214028,6,0
1532214988,10,13
1532215943,38,15
1532216913,20,14
1532217859,7,11
1532218814,23,9
1532219799,24,17
1532220746,23,18
1532221699,21,11
1532222654,13,25
1532223610,19,13
1532224595,18,12
1532225544,16,21
1532226489,14,23
1532227492,19,13
1532228428,12,9
1532229377,18,12
1532230370,13,16
1532231290,9,17
1532232256,5,0
1532233213,12,3
1532234193,20,16
1532235139,15,19
1532236097,3,9
1532237059,8,18
1532238268,9,22
1532239214,13,10
1532240176,15,13
1532241153,15,20
1532242093,10,19
1532243059,12,21
1532244023,14,21
1532244989,7,6
1532245956,11,17
1532247137,12,19
1532248110,12,14
1532249103,12,21
1532250018,11,12
1532250983,14,18
1532251943,25,21
1532252910,14,33
1532253859,11,25
1532254823,5,9
1532255793,10,23
1532256778,27,26
1532257697,12,24
1532258666,13,31
1532259614,22,27
1532260570,11,9
1532261547,12,13
1532262487,12,15
1532263489,15,11
1532264438,9,18
1532265459,8,10
1532266586,9,24
1532267533,14,24
1532268493,12,15
1532269469,16,14
1532270411,9,17
1532271368,15,13
1532272355,9,17
1532273299,9,24
1532274251,13,12
1532275748,9,5
1532276670,13,24
1532277610,8,0
1532279090,10,32
1532280010,8,7
1532280975,7,9
1532281984,7,8
1532282899,6,5
1532283851,15,8
1532284833,8,8
1532285790,9,5
1532286982,9,7
1532287964,11,8
1532288917,3,23
1532289888,5,23
1532290837,7,19
1532291774,10,16
1532292745,13,21
1532293706,5,20
1532294658,3,19
1532295629,8,18
1532296572,8,9
1532297539,3,24
1532298524,11,20
1532299698,10,8
1532300675,3,11
1532301635,9,21
1532302618,14,14
1532303559,5,11
1532304539,10,26
1532305454,8,29
1532306421,8,20
1532307380,8,11
1532308365,10,12
1532309293,12,12
1532310271,13,19
1532311225,9,17
1532312202,15,21
1532313159,10,19
1532314120,19,13
1532315063,9,18
1532316020,9,29
1532316992,12,16
1532317955,28,9
1532318914,37,12
1532319899,32,15
1532320831,28,18
1532321798,14,10
1532322759,40,23
1532323691,13,25
1532324658,15,0
1532325647,27,37
1532326587,29,33
1532327547,10,0
1532328507,23,63
1532329479,22,0
1532330424,27,0
1532331401,4,1
1532332352,22,0
1532333316,17,2
1532334493,30,4
1532335469,26,26
1532336445,10,44
1532337374,16,0
1532338346,24,49
1532339300,30,0
1532341745,77,59
1532342893,45,29
1532343875,13,15
1532344811,31,21
1532345771,29,14
1532346759,21,8
1532347694,9,20
1532348652,22,11
1532349628,23,12
1532350569,15,13
1532351540,17,13
1532352604,28,22
1532353687,25,12
1532354670,9,9
1532355607,21,13
1532356572,18,14
1532357560,12,11
1532358495,11,16
1532359452,8,13
1532360432,16,9
1532361367,18,22
1532362332,10,18
1532363308,16,4
1532364274,14,18
1532365286,17,0
1532366428,14,33
1532367381,13,12
1532368334,7,0
1532369313,8,17
1532370254,10,13
1532371210,10,0
1532372184,13,8
1532373131,13,13
1532374087,20,19
1532375083,16,7
1532376016,3,9
1532376989,15,11
1532377937,21,7
1532380133,23,25
1532381058,9,8
1532382017,14,0
1532382986,8,18
1532383966,17,8
1532384889,8,0
1532385860,18,13
1532386833,6,12
1532387787,19,17
1532388741,21,15
1532389704,17,20
1532390661,20,13
1532391628,47,25
1532392569,39,16
1532393532,36,19
1532394500,33,24
1532395493,30,14
1532396412,17,27
1532397372,27,10
1532398337,22,12
1532399321,19,14
1532400266,23,18
1532401225,37,9
1532402185,31,11
1532403142,27,8
1532404113,29,6
1532405056,9,13
1532406023,27,16
1532407002,22,12
1532408445,29,12
1532409631,28,9
1532410580,14,8
1532411535,22,11
1532412497,22,13
1532413473,24,20
1532414418,25,9
1532415371,16,10
1532416362,35,14
1532417294,25,5
1532418250,33,6
1532419241,39,8
1532420173,16,16
1532421159,33,11
1532422332,27,6
1532423303,22,11
1532424262,24,16
1532425234,15,18
1532426194,23,12
1532427135,26,0
