DateTime,Entries,UniqueIPs
1531935148,40536,40901
1531936089,40523,40888
1531937077,40511,40876
1531938007,40499,40864
1531938971,40483,40848
1531939931,40462,40828
1531940913,40446,40812
1531942620,40420,40786
1531943532,40411,40777
1531944503,40400,40765
1531945461,40391,40756
1531946423,40380,40745
1531947373,40361,40726
1531948350,40345,40710
1531949290,40325,40690
1531950313,40333,40698
1531951219,40327,40692
1531952172,40320,40685
1531953144,40309,40675
1531954105,40315,40681
1531955060,40289,40655
1531956049,40277,40643
1531957001,40275,40641
1531957978,40269,40634
1531958896,40270,40635
1531959855,40255,40620
1531960829,40225,40592
1531961786,40221,40588
1531962751,40212,40579
1531963696,40204,40571
1531964674,40195,40562
1531965643,40175,40542
1531966580,40186,40553
1531967570,40168,40538
1531968490,40172,40542
1531969474,40147,40518
1531970426,40146,40517
1531971384,40141,40512
1531972361,40136,40508
1531973326,40150,40522
1531974493,40145,40517
1531975480,40148,40521
1531976443,40145,40518
1531977411,40135,40509
1531978363,40135,40509
1531979302,40124,40498
1531980261,40131,40505
1531981264,40118,40492
1531982170,40139,40513
1531983653,40135,40509
1531984812,40125,40500
1531985790,40125,40500
1531986731,40132,40507
1531987697,40124,40499
1531988654,40126,40501
1531989625,40125,40501
1531990578,40098,40474
1531991557,40099,40476
1531992512,40077,40454
1531993477,40077,40454
1531994441,40073,40450
1531995411,40076,40453
1531996357,40060,40438
1531997325,40052,40430
1531998279,40039,40417
1531999240,40025,40403
1532000200,40015,40393
1532001165,40005,40383
1532002118,40000,40378
1532003083,39993,40371
1532004139,40007,40385
1532005463,40009,40387
1532006408,40027,40405
1532007389,40031,40409
1532008334,40029,40407
1532009316,40018,40396
1532010263,40025,40404
1532011226,40024,40403
1532012177,40035,40415
1532013147,40021,40401
1532014092,40033,40413
1532015074,40023,40403
1532016025,40027,40407
1532016982,40001,40380
1532017938,40016,40395
1532018894,40010,40389
1532019879,40016,40395
1532020809,40024,40404
1532021770,40014,40393
1532022736,40003,40382
1532023801,40007,40387
1532024903,40006,40386
1532025868,40009,40389
1532026821,39993,40373
1532027803,39999,40379
1532028741,40002,40382
1532029698,40004,40384
1532030673,39996,40376
1532031612,39992,40371
1532032571,39983,40361
1532033557,39974,40352
1532034497,39957,40335
1532035465,39954,40332
1532036421,39947,40325
1532037396,39942,40321
1532038370,39945,40324
1532039317,39930,40309
1532040275,39919,40298
1532041222,39904,40283
1532042191,39896,40275
1532043409,39887,40267
1532044329,39878,40258
1532045333,39858,40238
1532046260,39858,40238
1532047222,39847,40227
1532048437,39845,40224
1532049403,39833,40212
1532050357,39837,40216
1532051322,39834,40212
1532052281,39830,40208
1532053212,39840,40218
1532054180,39820,40196
1532055201,39822,40198
1532056109,39803,40178
1532057059,39799,40173
1532058023,39803,40177
1532059003,39799,40173
1532059946,39795,40169
1532061148,39785,40159
1532062100,39799,40173
1532063080,39799,40173
1532064021,39803,40176
1532064982,39804,40177
1532065945,39794,40167
1532066906,39797,40170
1532067865,39814,40187
1532068814,39809,40181
1532069784,39809,40180
1532070759,39815,40186
1532071961,39828,40199
1532073156,39807,40178
1532074099,39810,40181
1532075072,39811,40182
