DateTime,AddedIPs,RemovedIPs
1531924574,147,134
1531925579,166,137
1531926500,160,116
1531927459,169,112
1531928413,138,126
1531929393,420,127
1531930378,160,107
1531931305,139,114
1531932258,151,153
1531933222,154,117
1531934201,185,137
1531935149,147,141
1531936090,132,118
1531937079,171,144
1531938009,189,0
1531938973,141,124
1531939941,150,261
1531940915,139,145
1531942622,145,121
1531943542,163,183
1531944504,181,240
1531945480,153,201
1531946436,163,288
1531947402,126,58
1531948351,138,49
1531949292,124,176
1531950336,166,148
1531951456,148,105
1531952407,193,135
1531953636,171,294
1531954591,140,147
1531955538,146,143
1531956497,148,132
1531957473,161,124
1531958435,136,126
1531959395,131,121
1531960335,134,143
1531961329,157,123
1531962279,157,132
1531963227,132,118
1531964192,170,141
1531965145,141,134
1531966125,140,116
1531967054,149,167
1531968028,136,137
1531968978,144,139
1531969949,148,186
1531970891,127,121
1531971871,142,127
1531972898,214,144
1531974025,150,121
1531974975,168,160
1531975983,183,137
1531976900,132,159
1531977855,129,158
1531978817,149,118
1531979787,161,129
1531980744,160,144
1531983655,166,448
1531984814,191,117
1531985791,112,74
1531986732,171,141
1531987728,95,134
1531988663,180,133
1531989682,206,152
1531991098,144,305
1531992012,128,142
1531992988,175,137
1531993970,171,190
1531994906,154,143
1531995851,164,120
1531996859,150,154
1531997773,125,128
1531998745,10,125
1531999695,44,154
1532000679,257,135
1532001643,233,155
1532002594,157,153
1532003544,99,123
1532004517,179,164
1532005465,161,182
1532006410,202,136
1532007398,162,186
1532008383,136,182
1532009318,162,138
1532010282,183,163
1532011241,184,141
1532012179,179,175
1532013148,149,161
1532014093,168,154
1532015096,167,130
1532016040,159,388
1532016983,140,145
1532017940,216,124
1532018895,155,141
1532019901,175,143
1532020810,159,151
1532021779,155,152
1532022739,183,119
1532023803,162,180
1532024905,191,174
1532025891,127,142
1532027824,249,265
1532028742,147,0
1532029699,173,127
1532030674,183,145
1532031613,163,161
1532032573,155,150
1532033573,134,140
1532034498,131,120
1532035472,164,126
1532036913,163,274
1532037862,151,123
1532038816,132,166
1532039781,159,0
1532040780,154,137
1532041721,111,125
1532043425,147,272
1532044843,147,287
1532045861,178,128
1532047012,159,131
1532047954,144,174
1532048894,176,147
1532049894,160,109
1532050861,156,154
1532051782,163,153
1532052754,173,143
1532053713,154,119
1532054652,167,146
1532055634,181,141
1532056625,181,144
1532057551,164,117
1532058523,223,155
1532059515,157,210
1532060671,167,147
1532061610,206,174
1532062590,162,169
1532063550,159,126
1532064490,164,117
1532065481,92,144
1532066424,166,144
1532067397,172,156
1532068345,155,0
1532069305,150,0
1532070254,154,145
1532071257,151,112
1532072416,178,138
1532073642,146,84
1532074577,13,132
1532075540,146,139
1532076497,169,169
1532077456,137,0
1532078476,153,231
1532079608,217,156
1532080584,193,185
1532081560,169,158
1532082775,180,176
1532083700,198,93
1532084658,189,5
1532085644,201,38
1532086584,184,157
1532088054,158,600
1532088986,196,0
1532089947,168,266
1532090898,170,0
1532091875,209,255
1532092813,176,147
1532093777,188,0
1532094806,170,260
1532095706,175,0
1532096684,188,273
1532097619,178,0
1532098585,157,344
1532099553,149,155
1532100998,209,170
1532101976,178,156
1532102947,160,157
1532103895,223,120
1532104809,187,188
1532105772,186,148
1532106771,177,178
1532107708,142,128
1532108709,205,137
1532109618,219,149
1532110582,231,155
1532111553,219,151
1532112490,202,125
1532113459,246,0
1532114416,230,253
1532115394,204,162
1532116334,205,168
1532117303,223,179
1532118274,217,142
1532119213,185,142
1532120220,170,149
1532121141,194,129
1532122095,139,136
1532123599,163,155
1532124502,156,140
1532125478,176,118
1532126417,168,173
1532128143,166,283
1532129088,184,0
1532130016,177,150
1532130976,174,0
1532131976,161,144
1532132906,207,164
1532133873,181,143
1532134821,167,144
1532135794,159,152
1532136739,200,138
1532137711,172,188
1532138659,139,166
1532139623,176,182
1532140827,148,152
1532141811,172,182
1532142759,158,193
1532143727,182,161
1532145381,206,369
1532146349,158,170
1532147294,157,152
1532148294,177,167
1532149231,206,158
1532150193,148,168
1532151143,216,79
1532152103,143,161
1532153070,237,119
1532154014,213,151
1532155029,236,156
1532156446,267,113
1532157379,243,152
1532158356,225,130
1532159423,242,171
1532160501,181,19
1532161498,178,128
1532162411,155,131
1532163409,186,153
1532164353,178,154
1532165298,218,142
1532166289,142,178
1532167219,144,177
1532168204,202,156
1532169138,179,0
1532170093,210,186
1532171104,135,303
1532172010,191,0
1532172972,197,150
1532173968,218,149
1532174933,154,133
1532175889,204,153
1532176811,186,131
1532177777,123,151
1532178763,121,192
1532179713,141,139
1532180697,137,185
1532181634,131,121
1532182590,114,138
1532183545,142,160
1532184506,160,132
1532186184,166,241
1532187384,146,0
1532188359,132,157
1532189368,118,294
1532191229,144,322
1532192171,157,0
1532193159,134,151
1532194101,170,160
1532195095,126,117
1532196025,133,478
1532196987,145,254
1532198049,128,243
1532199168,148,235
1532200103,108,288
1532201074,132,309
1532202011,116,219
1532203039,123,138
1532203941,93,159
1532205609,114,181
1532206592,113,152
1532207536,90,189
1532208489,106,173
1532209530,123,121
1532210655,137,160
1532211626,116,148
1532212814,119,189
1532213784,104,172
1532214993,142,135
1532215944,133,175
1532216914,131,184
1532217860,135,180
1532218815,149,172
1532219800,130,248
1532220765,132,188
1532221701,119,231
1532222677,81,178
1532223612,115,203
1532224617,125,198
1532225546,129,154
1532226490,126,209
1532227511,123,179
1532228467,131,218
1532229378,111,211
1532230391,118,223
1532231292,120,0
1532232257,112,253
1532233226,101,193
1532234194,125,203
1532235156,115,206
1532236098,106,243
1532237092,113,194
1532238295,122,240
1532239229,119,156
1532240182,154,231
1532241154,108,257
1532242095,129,287
1532243090,128,320
1532244024,119,370
1532244994,116,320
1532245973,148,355
1532247155,154,278
1532248140,115,232
1532249119,127,164
1532250076,131,202
1532250984,112,187
1532251944,129,223
1532252912,156,208
1532253860,153,220
1532254825,93,223
1532255794,98,229
1532256794,174,270
1532257699,138,150
1532258688,109,261
1532259657,142,300
1532260572,145,316
1532261549,163,238
1532262498,130,383
1532263512,155,324
1532264440,121,194
1532265461,120,158
1532266587,130,157
1532267555,168,151
1532268494,127,159
1532269485,129,155
1532270412,149,150
1532271377,155,130
1532272356,114,0
1532273319,120,169
1532274307,131,163
1532275277,148,138
1532276186,148,155
1532277134,136,0
1532279092,157,320
1532280011,165,144
1532280989,156,178
1532282008,164,132
1532283131,193,151
1532284106,128,188
1532285400,186,148
1532286509,1711,287
1532287467,141,0
1532288417,162,293
1532289390,166,0
1532290387,175,275
1532291302,118,0
1532292288,140,153
1532293240,94,132
1532294200,140,125
1532295135,155,141
1532296107,169,151
1532297098,149,158
1532298008,134,0
1532299239,147,289
1532300168,178,0
1532301167,148,163
1532302113,178,147
1532303101,145,134
1532304022,160,129
1532304981,160,160
1532305952,157,156
1532306917,112,154
1532307864,168,148
1532308812,138,143
1532309789,158,101
1532310791,174,144
1532311693,214,148
1532312674,159,140
1532313624,130,127
1532314571,184,103
1532315557,180,145
1532316516,145,143
1532317493,150,164
1532318444,182,127
1532319386,159,139
1532320346,167,101
1532321295,150,142
1532322260,164,131
1532323215,161,123
1532324190,161,147
1532325129,172,150
1532326120,152,146
1532327103,153,151
1532328024,162,150
1532328999,194,161
