DateTime,AddedIPs,RemovedIPs
1531924574,1429,1429
1531925579,1505,1505
1531926500,1512,1512
1531927459,1553,1553
1531928413,1463,1463
1531929393,1561,1561
1531930378,1603,1603
1531931305,1462,1462
1531932258,1396,1396
1531933222,1424,1424
1531934201,1451,1451
1531935149,1444,1444
1531936090,1339,1339
1531937079,1483,1483
1531938009,1510,1510
1531938973,1509,1509
1531939941,1413,1413
1531940915,1321,1321
1531942622,1393,1393
1531943542,1458,1458
1531944504,1487,1487
1531945480,1406,1406
1531946436,1500,1500
1531947402,1499,1499
1531948351,1456,1456
1531949292,1384,1384
1531950336,1400,1400
1531951456,1430,1430
1531952407,1434,1434
1531953636,1376,1376
1531954591,1353,1353
1531955538,1421,1421
1531956497,1459,1459
1531957473,1538,1538
1531958435,1469,1469
1531959395,1420,1420
1531960335,1475,1475
1531961329,1499,1499
1531962279,1550,1550
1531963227,1469,1469
1531964192,1505,1505
1531965145,1514,1514
1531966125,1491,1491
1531967054,1486,1486
1531968028,1470,1470
1531968978,1444,1444
1531969949,1490,1490
1531970891,1548,1548
1531971871,1454,1454
1531972898,1475,1475
1531974025,1527,1527
1531974975,1534,1534
1531975983,1502,1502
1531976900,1476,1476
1531977855,1530,1530
1531978817,1553,1553
1531979787,1518,1518
1531980744,1517,1517
1531983655,1508,1508
1531984814,1558,1558
1531985791,1074,1074
1531986732,1482,1482
1531987728,899,899
1531988663,1446,1446
1531989682,1447,1447
1531991098,1461,1461
1531992012,1459,1459
1531992988,1548,1548
1531993970,1518,1518
1531994906,1458,1458
1531995851,1561,1561
1531996859,1589,1589
1531997773,1109,1109
1531998745,105,105
1531999695,540,540
1532000679,1630,1630
1532001643,1540,1540
1532002594,1616,1616
1532003544,1504,1504
1532004517,1533,1533
1532005465,1593,1593
1532006410,1537,1537
1532007398,1542,1542
1532008383,1538,1538
1532009318,1368,1368
1532010282,1450,1450
1532011241,1500,1500
1532012179,1515,1515
1532013148,1554,1554
1532014093,1490,1490
1532015096,1514,1514
1532016040,1511,1511
1532016983,1403,1403
1532017940,1480,1480
1532018895,1562,1562
1532019901,1513,1513
1532020810,1538,1538
1532021779,1516,1516
1532022739,1478,1478
1532023803,1472,1472
1532024905,1510,1510
1532025891,1499,1499
1532027824,1439,1439
1532028742,1476,1476
1532029699,1550,1550
1532030674,1549,1549
1532031613,1538,1538
