DateTime,AddedIPs,RemovedIPs
1531968336,10,0
1531968966,49,0
1531969474,24,30
1531970511,66,118
1531971375,11,21
1531971727,93,142
1531972566,75,0
1531973319,15,17
1531973731,70,117
1531975468,24,20
1531976166,155,116
1531977401,112,124
1531978280,56,1
1531979301,9,25
1531980045,83,126
1531981238,122,83
1531983644,242,159
1531985169,87,74
1531985542,71,22
1531986906,106,117
1531987453,22,24
1531988138,85,127
1531989623,19,32
1531989955,115,97
1531991544,17,25
1531991646,116,101
1531992486,58,0
1531993468,20,19
1531994166,127,219
1531995396,91,943
1531997311,107,176
1531997713,119,42
1531999231,450,75
1532001153,135,266
1532001365,66,43
1532002536,96,73
1532003073,18,11
1532004994,20,11
1532005805,250,282
1532006892,39,14
1532007030,88,0
1532008847,29,22
1532009741,196,275
1532010745,18,21
1532011553,111,142
1532012166,61,1
1532012668,23,8
1532013246,72,65
1532014208,0,256
1532014579,9,10
1532014810,97,120
1532016542,34,8
1532016934,1403,104
1532018434,362,392
1532019332,151,40
1532020343,25,13
1532022267,144,94
1532022324,171,146
1532023239,253,0
1532024196,199,94
1532026351,175,111
1532027724,163,111
1532028254,24,9
1532028486,48,0
1532029333,76,115
1532030171,27,19
1532030173,107,0
1532031324,0,255
1532032112,98,153
1532033137,51,0
1532034037,143,171
1532034854,65,65
1532035950,19,24
1532036706,45,104
1532037860,20,12
1532038207,157,151
1532039779,23,23
1532040357,55,0
1532041711,456,350
1532043007,87,0
1532043867,23,19
1532045793,239,316
1532046635,256,0
1532047713,202,146
1532048166,44,0
1532049338,77,179
1532049853,20,13
1532050205,54,0
1532051126,49,171
1532051773,17,27
1532053704,127,104
1532053810,105,110
1532054528,50,0
1532055632,70,12
1532057549,176,141
1532058340,41,176
1532059471,10,10
1532061029,113,73
1532061370,11,10
1532061727,110,148
1532062566,84,0
1532063549,9,19
1532063706,85,77
1532064605,65,0
1532065455,5,14
1532066106,142,136
1532067394,105,137
1532069296,86,124
1532070305,139,176
1532071223,14,11
1532071806,60,0
1532073144,11,19
1532073366,241,167
1532075063,17,14
1532076338,69,105
1532076985,198,155
1532078162,193,131
1532078894,14,25
1532079307,103,147
1532081064,16,990
1532081738,142,106
1532083228,24,22
1532083548,116,101
1532085155,553,142
1532085860,39,0
1532086206,35,0
1532087066,36,32
1532087707,143,197
1532088976,32,28
1532089686,135,110
1532090895,22,19
1532091011,90,242
1532092207,77,68
1532092809,22,24
1532093267,16,0
1532094738,120,150
1532095589,128,125
1532096665,24,16
1532097307,129,145
1532097730,17,0
1532098571,21,28
1532098861,42,0
1532100494,98,135
1532101210,143,107
1532102438,10,13
1532103327,871,1083
1532104338,0,21
1532104930,113,179
1532106274,52,14
1532106930,70,107
1532108201,46,12
1532108720,0,254
1532110119,0,12
1532110536,128,342
1532112018,58,16
1532112127,165,126
1532113952,66,14
1532114132,400,149
1532115858,25,26
1532115922,183,112
1532117803,165,169
1532118494,70,0
1532119327,54,196
1532119694,36,16
1532120448,59,0
1532121627,40,19
1532122235,68,100
1532123556,92,120
1532124930,97,189
1532125464,37,13
1532125821,48,108
1532128120,807,299
1532128527,85,128
1532130013,16,32
1532131950,8,27
1532132046,170,271
1532132886,45,0
1532133871,49,155
1532135785,164,151
1532137709,90,214
1532138167,59,0
1532139614,22,22
1532140208,38,66
1532140512,65,90
1532141543,22,27
1532142042,0,256
1532143472,98,55
1532144527,137,235
1532145380,25,17
1532145720,75,71
1532147293,23,16
1532147577,88,121
1532149230,25,22
1532149505,94,119
1532151143,22,15
1532151938,52,0
1532153070,121,135
1532154467,70,149
1532154986,25,16
1532155534,99,126
1532156903,11,17
1532157247,136,109
1532158086,65,1
1532159410,24,37
1532159766,146,180
1532161223,13,19
1532161806,63,69
1532163131,125,152
1532163905,80,135
1532165081,12,18
1532165432,84,115
1532166357,38,0
1532166967,22,27
1532168047,100,136
1532168897,15,847
1532169005,63,0
1532169728,42,221
1532170828,338,0
1532171739,189,94
1532172735,22,21
1532172914,97,166
1532174662,21,11
1532175339,113,126
1532176208,41,0
1532176581,44,10
1532176928,55,151
1532178047,53,0
1532178737,29,15
1532180664,122,156
1532180762,72,97
1532181800,107,123
1532182574,30,15
1532184126,129,95
1532184495,30,12
1532186139,147,166
1532186439,28,11
1532187145,63,91
1532187726,34,53
1532188338,17,11
1532189758,167,603
1532190251,15,9
1532190486,56,0
1532190718,758,0
1532192169,25,13
1532192437,84,249
1532193337,60,91
1532194091,15,9
1532194230,81,169
1532195337,64,0
1532196022,32,11
1532196040,0,252
1532196847,64,126
1532197937,17,13
1532198411,100,123
1532199872,14,14
1532200533,131,164
1532201286,45,0
1532201768,18,12
1532202126,62,122
