DateTime,Entries,UniqueIPs
1531973704,22488,22488
1531974604,22356,22356
1531975504,22445,22445
1531976405,22558,22558
1531977305,22580,22580
1531978204,22463,22463
1531979104,22209,22209
1531980005,21889,21889
1531980905,21759,21759
1531981805,21642,21642
1531983605,21028,21028
1531984505,20439,20439
1531985406,20285,20285
1531986306,20158,20158
1531987207,19802,19802
1531988106,19541,19541
1531989007,19289,19289
1531989905,18786,18786
1531990806,18888,18888
1531991705,18558,18558
1531992606,18610,18610
1531993506,18448,18448
1531994406,18380,18380
1531995306,18070,18070
1531996206,18154,18154
1531997106,18219,18219
1531998007,17923,17923
1531998906,17842,17842
1531999807,17929,17929
1532000706,18003,18003
1532001606,17788,17788
1532002506,17616,17616
1532003405,17931,17931
1532004306,18173,18173
1532005206,18311,18311
1532006106,18658,18658
1532007006,18625,18625
1532007906,18661,18661
1532008806,18791,18791
1532009706,18888,18888
1532010606,18853,18853
1532011505,18778,18778
1532012406,18825,18825
1532013306,18903,18903
1532014205,18997,18997
1532015105,19054,19054
1532016006,19087,19087
1532016905,19120,19120
1532017805,19079,19079
1532018704,19168,19168
1532019604,19218,19218
1532020505,19322,19322
1532021404,19382,19382
1532022304,19430,19430
1532023205,19481,19481
1532024104,19511,19511
1532025004,19535,19535
1532025904,19548,19548
1532026804,19560,19560
1532027704,19565,19565
1532028604,19582,19582
1532029504,19584,19584
1532030404,19761,19761
1532031303,20275,20275
1532032205,20870,20870
1532033104,21306,21306
1532034004,21316,21316
1532034904,21639,21639
1532035805,21948,21948
1532036704,22106,22106
1532037605,22375,22375
1532038504,22667,22667
1532039404,22818,22818
1532040304,22796,22796
1532041205,22758,22758
1532042105,22267,22267
1532043004,21920,21920
1532043904,22061,22061
1532044804,22172,22172
1532045704,21961,21961
1532046604,22051,22051
1532047505,21937,21937
1532048404,21841,21841
1532049305,21766,21766
1532050205,21732,21732
1532051104,21789,21789
1532052005,21759,21759
1532052904,21953,21953
1532053804,22204,22204
1532054704,22372,22372
1532055604,22384,22384
1532056504,22306,22306
1532057404,22242,22242
1532058304,22067,22067
1532059204,21885,21885
1532060104,21621,21621
1532061005,21537,21537
1532061904,21725,21725
1532062805,22234,22234
1532063705,22419,22419
1532064606,22405,22405
1532065505,22332,22332
1532066406,22264,22264
1532067307,22419,22419
1532068205,22287,22287
1532069106,22262,22262
1532070006,22121,22121
1532070906,21869,21869
1532071805,21533,21533
1532072705,21138,21138
1532073607,20962,20962
1532074506,20762,20762
1532075406,20682,20682
1532076306,20282,20282
1532077207,19947,19947
1532078107,19839,19839
1532079007,19657,19657
1532079907,19514,19514
1532080807,19659,19659
1532081706,19886,19886
1532082607,20046,20046
1532083506,19639,19639
1532084407,19248,19248
1532085306,19016,19016
1532086207,18635,18635
1532087106,18496,18496
1532088007,18391,18391
1532088907,18292,18292
1532089807,18170,18170
1532090707,18139,18139
1532091607,18141,18141
1532092507,17939,17939
1532093406,17851,17851
1532094305,17834,17834
1532095205,17826,17826
1532096107,17913,17913
1532097006,18000,18000
1532097906,17956,17956
1532098806,17912,17912
1532099706,17953,17953
1532100605,17843,17843
1532101506,17577,17577
1532102406,17436,17436
1532103306,17031,17031
1532104206,16859,16859
1532105106,16826,16826
1532106006,16791,16791
1532106906,16630,16630
1532107806,16594,16594
1532108705,16555,16555
1532109606,16644,16644
1532110506,16725,16725
1532111406,16745,16745
1532112305,16761,16761
1532113206,16765,16765
1532114106,16758,16758
1532115005,17289,17289
1532115905,17373,17373
1532116805,17587,17587
1532117705,17993,17993
1532118606,18210,18210
1532119505,18268,18268
1532120406,18286,18286
1532121306,18069,18069
1532122206,17754,17754
1532123105,17591,17591
1532124005,17409,17409
1532124906,13341,13341
1532125806,13348,13348
1532127605,12679,12679
1532128507,11914,11914
1532129406,11442,11442
1532130307,10460,10460
1532131207,9502,9502
1532132107,9171,9171
1532133007,8629,8629
1532133906,8121,8121
1532134807,7806,7806
1532135708,3160,3160
1532136608,3367,3367
1532137508,3228,3228
1532138408,3182,3182
1532139308,3371,3371
1532140208,3509,3509
1532141108,3732,3732
1532142010,4235,4235
1532142909,4760,4760
1532143808,5449,5449
1532144709,6056,6056
1532145609,6602,6602
1532146509,7167,7167
1532147408,7693,7693
1532148309,8257,8257
1532149208,8856,8856
1532150108,9284,9284
1532151008,9904,9904
1532151908,10551,10551
1532152808,11131,11131
1532153708,11716,11716
1532154608,12256,12256
1532155507,12852,12852
1532156409,9000,9000
1532157309,8867,8867
1532158209,8875,8875
1532159109,8086,8086
1532160009,7914,7914
1532160909,7931,7931
1532161809,8204,8204
1532162709,8379,8379
1532163609,8500,8500
1532164509,8684,8684
1532165409,8586,8586
1532166309,7987,7987
1532167209,8431,8431
1532168110,8995,8995
1532169008,9572,9572
1532169908,10159,10159
1532170809,10762,10762
1532171709,11340,11340
1532172608,11937,11937
1532173509,12019,12019
1532174408,12336,12336
1532175309,12309,12309
1532176210,12729,12729
1532177109,13141,13141
1532178008,13342,13342
1532178913,13255,13255
1532179809,9234,9234
1532180710,9687,9687
1532181608,10074,10074
1532182508,10132,10132
1532183409,9997,9997
1532184308,9922,9922
1532185209,9932,9932
1532186108,9977,9977
1532187008,10076,10076
1532187908,10129,10129
1532188808,10035,10035
1532189709,10154,10154
1532190608,10286,10286
1532191508,10346,10346
1532192409,10294,10294
1532193309,10428,10428
1532194208,10664,10664
1532195108,11361,11361
1532196008,12105,12105
1532196908,12886,12886
1532197808,13532,13532
1532198708,13987,13987
1532199609,14468,14468
1532200508,15161,15161
1532201408,15836,15836
1532202307,16434,16434
1532203207,17135,17135
1532204107,17638,17638
1532205007,17607,17607
1532205907,17668,17668
1532206807,17813,17813
1532207707,17853,17853
1532208607,17860,17860
1532209508,17885,17885
1532210407,18011,18011
1532211306,18114,18114
1532212207,17839,17839
1532213107,17801,17801
1532214007,17828,17828
1532214906,17719,17719
1532215807,17622,17622
1532216707,17369,17369
1532217606,17202,17202
1532218507,17328,17328
1532219408,17179,17179
1532220306,16882,16882
1532221206,16709,16709
1532222108,16691,16691
1532223008,16811,16811
1532223905,16701,16701
1532224805,16639,16639
1532225706,16530,16530
1532226605,16461,16461
1532227505,16538,16538
1532228406,16319,16319
1532229305,15628,15628
1532230206,15497,15497
1532231106,15119,15119
1532232006,14763,14763
1532232906,14906,14906
1532233807,14916,14916
1532234706,14575,14575
1532235607,14779,14779
1532236506,14841,14841
1532237406,15118,15118
1532238308,15195,15195
1532239206,15097,15097
1532240106,15079,15079
1532241006,14971,14971
1532241906,15114,15114
1532242807,15303,15303
1532243707,15371,15371
1532244607,15397,15397
1532245506,15492,15492
1532246406,15578,15578
1532247305,15667,15667
1532248205,15873,15873
1532249105,16032,16032
1532250006,16154,16154
1532250905,16378,16378
1532251805,16548,16548
1532252706,16395,16395
1532253606,16512,16512
1532254506,16653,16653
1532255406,16829,16829
1532256306,17043,17043
1532257206,17353,17353
1532258106,17550,17550
1532259006,17955,17955
1532259906,17917,17917
1532260806,17954,17954
1532261706,18206,18206
1532262606,18450,18450
1532263506,18350,18350
1532264406,18567,18567
1532265306,18665,18665
1532266206,18865,18865
1532267105,19048,19048
1532268005,19165,19165
1532268905,19390,19390
1532269804,19738,19738
1532270704,19987,19987
1532271604,20089,20089
1532272504,20225,20225
1532273405,20348,20348
1532274304,20535,20535
1532275205,20539,20539
1532276105,20602,20602
1532277004,20679,20679
1532278804,20492,20492
1532279704,20269,20269
1532280605,19998,19998
1532281505,20093,20093
1532282404,20163,20163
1532283305,20150,20150
1532284204,19965,19965
1532285105,19542,19542
1532286005,19468,19468
1532286905,19701,19701
1532287804,19944,19944
1532288704,20125,20125
1532289604,20277,20277
1532290504,20451,20451
1532291404,20501,20501
1532292304,20519,20519
1532293204,20577,20577
1532294105,20375,20375
1532295004,20267,20267
1532295904,20490,20490
1532296804,20572,20572
1532297704,20770,20770
1532298604,20866,20866
1532299504,21142,21142
1532300404,21224,21224
1532301304,21216,21216
1532302204,21217,21217
1532303104,21235,21235
1532304004,21334,21334
1532304904,21414,21414
1532305805,21590,21590
1532306704,21553,21553
1532307604,21487,21487
1532308505,21508,21508
1532309405,21718,21718
1532310304,21951,21951
1532311203,22208,22208
1532312104,22507,22507
1532313005,22719,22719
1532313904,22787,22787
1532314803,22771,22771
1532315704,22802,22802
1532316604,22958,22958
1532317504,22984,22984
1532318405,22956,22956
1532319304,22936,22936
1532320204,22893,22893
1532321104,22674,22674
1532322004,22638,22638
1532322904,22645,22645
1532323804,22483,22483
1532324704,22633,22633
1532325604,22851,22851
1532326504,23095,23095
1532327404,22930,22930
1532328304,22888,22888
1532329204,22785,22785
1532330104,23006,23006
1532331004,23249,23249
1532331904,23496,23496
1532332804,23829,23829
1532333704,24031,24031
1532334604,24267,24267
1532335504,24606,24606
1532336405,24858,24858
1532337304,25000,25000
1532338204,25117,25117
1532339104,25317,25317
1532340004,25737,25737
1532341804,26049,26049
1532342705,26184,26184
1532343604,25958,25958
1532344503,25761,25761
1532345404,25769,25769
1532346305,25945,25945
1532347204,26218,26218
1532348104,26510,26510
1532349004,26802,26802
1532349904,27073,27073
1532350804,27437,27437
1532351704,27781,27781
1532352605,27772,27772
1532353503,27204,27204
1532354404,26988,26988
1532355304,26453,26453
1532356204,26175,26175
1532357104,25731,25731
1532358003,25158,25158
1532358904,24225,24225
1532359805,23019,23019
1532360704,22167,22167
1532361604,20534,20534
1532362504,18880,18880
1532363404,17706,17706
1532364305,16771,16771
1532365205,16364,16364
1532366106,15321,15321
1532367005,13805,13805
1532367906,12192,12192
1532368805,12065,12065
1532369704,12075,12075
1532370605,12232,12232
1532371505,12307,12307
1532372405,12442,12442
1532373305,12484,12484
1532374206,12317,12317
1532375106,12640,12640
1532376006,12948,12948
1532376905,13221,13221
1532377805,13592,13592
1532379606,14136,14136
1532380506,14625,14625
1532381406,15120,15120
1532382306,15681,15681
1532383205,16187,16187
1532384105,16397,16397
1532385005,16612,16612
1532385905,16965,16965
1532386805,17465,17465
1532387705,17702,17702
1532388606,17932,17932
1532389505,18086,18086
1532390405,18399,18399
1532391307,18866,18866
1532392206,19194,19194
1532393106,19002,19002
1532394005,18835,18835
1532394906,18332,18332
1532395807,17819,17819
1532396706,17286,17286
1532397607,16477,16477
1532398507,16075,16075
1532399407,15718,15718
1532400307,15014,15014
1532401207,14864,14864
1532402107,14681,14681
1532403007,14570,14570
1532403908,13954,13954
1532404807,13937,13937
1532405706,13895,13895
1532406607,13699,13699
1532407508,13499,13499
1532408407,13334,13334
1532409307,13356,13356
1532410207,13794,13794
1532411108,13922,13922
1532412007,13895,13895
1532412907,13623,13623
