DateTime,AddedIPs,RemovedIPs
1531765687,1,0
1531785366,0,1
1531786330,1,0
1531786806,0,1
1531787288,1,0
1531790177,7,12
1531790885,7,13
1531791369,10,10
1531791848,9,4
1531792326,9,10
1531792818,3,8
1531793287,8,4
1531793781,4,8
1531794245,10,8
1531794731,7,6
1531795206,5,10
1531795686,11,5
1531796166,4,5
1531796647,8,7
1531797126,9,6
1531797608,6,6
1531798086,9,10
1531798564,7,5
1531799049,7,6
1531799529,7,11
1531800015,9,8
1531800730,11,8
1531801208,4,7
1531801688,6,8
1531802167,11,4
1531802646,4,3
1531803129,7,7
1531803616,7,4
1531804329,5,11
1531804809,8,5
1531805526,6,5
1531806004,4,6
1531806487,7,10
1531806968,11,9
1531807445,8,7
1531807928,5,6
1531808405,8,8
1531808888,9,7
1531809367,5,7
1531809846,8,7
1531810324,5,13
1531810822,13,5
1531811530,6,8
1531812115,9,8
1531812486,10,9
1531812967,8,6
1531813448,6,6
1531813927,5,8
1531814478,9,7
1531814888,6,7
1531815367,5,6
1531816088,8,2
1531816570,1,0
1531822808,1,0
1531825216,0,1
1531825687,1,0
1531826647,1,0
1531834810,0,1
1531838888,1,0
1531847525,0,1
1531848010,1,0
1531876086,1,7
1531876564,11,14
1531877045,13,13
1531877528,14,8
1531878007,10,10
1531878487,8,11
1531878966,10,10
1531879445,7,9
1531879927,10,7
1531880405,10,8
1531880886,6,7
1531881365,9,5
1531881848,4,6
1531882326,5,7
1531882824,7,4
1531883286,5,5
1531883780,5,5
1531884244,4,8
1531884727,13,9
1531885204,8,4
1531885689,6,11
1531886164,7,5
1531886646,5,4
1531887125,4,7
1531887610,5,3
1531888085,4,8
1531888566,9,6
1531889048,6,8
1531889528,8,4
1531890015,4,9
1531890488,10,6
1531890965,7,5
1531891445,6,6
1531891927,6,8
1531892407,7,5
1531892885,6,5
1531893366,6,6
1531893845,7,8
1531894328,5,6
1531894804,7,5
1531895285,6,3
1531895764,3,5
1531896246,8,7
1531896728,7,8
1531897219,5,6
1531897686,10,9
1531898169,4,5
1531898644,8,4
1531899126,4,6
1531899605,5,5
1531900089,5,5
1531900565,7,8
1531901048,8,8
1531901526,6,6
1531902010,5,8
1531902484,7,1
1531915927,0,1
1531916421,1,0
1531932245,0,1
1531932725,1,0
1531957446,0,1
1531957929,1,0
1531962248,0,9
1531962726,13,10
1531963209,12,16
1531963689,10,9
1531964166,11,9
1531964648,13,13
1531965129,8,5
1531965626,10,12
1531966087,6,4
1531966566,4,6
1531967044,8,8
1531967546,5,7
1531968009,12,9
1531968485,8,9
1531968967,12,8
1531969447,9,5
1531969928,5,5
1531970408,4,8
1531970887,8,4
1531971366,8,9
1531971844,6,8
1531972329,5,6
1531972880,5,5
1531973288,6,5
1531973769,7,7
1531974486,7,6
1531974964,7,7
1531975447,6,4
1531975928,3,4
1531976414,8,8
1531976887,5,6
1531977369,4,6
1531977845,8,8
1531978330,9,13
1531978804,10,5
1531979287,6,3
1531979765,14,17
1531980247,9,8
1531980725,8,9
1531981210,8,6
1531981685,6,7
1531982164,6,6
1531983623,10,8
1531984327,6,7
1531984805,6,4
1531985287,6,12
1531985764,12,4
1531986247,3,5
1531986724,7,9
1531987212,7,5
1531987686,4,13
1531988167,11,8
1531988644,6,3
1531989128,3,1
1531989607,1,0
1531999210,0,1
1531999687,1,0
1532000645,1,0
1532004487,0,1
1532004968,1,0
1532022725,0,1
1532023216,1,0
1532027769,0,1
1532029685,1,0
1532035445,0,1
1532035929,1,0
1532041216,0,1
1532041689,1,0
1532048886,2,7
1532049369,12,17
1532049845,13,10
1532050331,13,11
1532050804,7,8
1532051292,12,12
1532051765,12,8
1532052248,5,7
1532052728,7,8
1532053208,8,4
1532053684,9,9
1532054165,7,6
1532054646,4,4
1532055126,5,8
1532055615,4,3
1532056087,6,6
1532056567,5,9
1532057045,9,5
1532057529,8,8
1532058007,8,8
1532058491,10,10
1532058965,10,8
1532059448,9,6
1532059926,5,3
1532060408,4,9
1532061129,6,8
1532061605,8,5
1532062087,5,6
1532062564,8,5
1532063050,3,9
1532063526,9,6
1532064006,5,5
1532064488,6,9
1532064965,7,6
1532065447,6,7
1532065925,7,5
1532066418,7,9
1532066887,9,6
1532067369,5,8
1532067845,7,8
1532068326,6,6
1532068806,7,5
1532069288,6,11
1532069767,7,7
1532070246,6,9
1532070727,9,8
1532071206,6,7
1532071929,8,8
1532072407,6,9
1532073126,11,7
1532073617,6,4
1532074087,9,6
1532074565,4,10
1532075046,8,4
1532075529,5,3
1532076006,2,0
1532107206,0,1
1532107690,1,0
1532124968,0,1
1532125446,1,0
1532134325,0,1
1532134811,1,0
1532135285,1,10
1532135770,11,12
1532136245,10,7
1532136727,6,7
1532137205,4,8
1532137689,14,14
1532138164,10,7
1532138646,7,8
1532139126,8,6
1532139607,6,5
1532140089,5,6
1532140805,7,9
1532141287,8,9
1532141765,8,9
1532142247,7,7
1532142725,11,5
1532143204,4,9
1532143688,12,7
1532144166,5,6
1532144645,7,6
1532145129,6,10
1532145848,8,7
1532146326,7,5
1532146808,8,5
1532147288,5,6
1532147766,6,7
1532148248,11,8
1532148726,5,2
1532149221,6,14
1532149689,9,10
1532150165,9,3
1532150646,3,6
1532151128,7,8
1532151608,6,4
1532152087,4,7
1532152564,14,14
1532153051,10,3
1532153526,3,5
1532154004,3,4
1532154488,7,6
1532154966,3,9
1532155448,6,6
1532155924,5,6
1532156408,6,10
1532156888,10,6
1532157368,8,8
1532157845,8,4
1532158328,4,5
1532159048,5,6
1532159765,4,9
1532160245,9,6
1532160726,5,7
1532161205,6,8
1532161928,5,1
1532162404,1,0
1532172964,0,1
1532173445,1,0
1532197448,0,1
1532197926,1,0
1532205366,0,1
1532205850,1,0
1532221686,2,8
1532222166,9,8
1532222645,8,7
1532223128,8,12
1532223605,11,8
1532224085,10,11
1532224567,11,7
1532225046,4,9
1532225527,8,6
1532226008,6,5
1532226485,5,6
1532226964,9,9
1532227446,7,6
1532227930,5,8
1532228421,6,3
1532228885,3,4
1532229367,7,5
1532229844,4,5
1532230329,7,7
1532230805,6,4
1532231284,6,7
1532231765,9,8
1532232247,7,6
1532232725,5,7
1532233204,11,7
1532233687,4,10
1532234167,10,9
1532234649,7,5
1532235125,7,8
1532235617,9,9
1532236087,7,5
1532236568,7,7
1532237045,7,6
1532237769,8,11
1532238251,8,7
1532238725,8,14
1532239208,13,5
1532239686,8,7
1532240167,5,8
1532240644,7,9
1532241125,7,7
1532241609,8,6
1532242087,4,3
1532242564,3,5
1532243048,5,5
1532243528,7,9
1532244008,5,2
1532244489,6,8
1532244964,6,4
1532245449,4,4
1532245925,5,5
1532246648,6,8
1532247125,7,6
1532247608,8,7
1532248085,3,1
1532248565,1,1
1532249050,1,0
1532276170,0,1
1532276645,1,0
1532295606,0,1
1532296087,1,0
1532307848,0,6
1532308326,10,11
1532308806,11,10
1532309288,6,10
1532309764,12,11
1532310247,13,9
1532310725,11,10
1532311219,11,7
1532311685,7,5
1532312169,5,8
1532312646,13,10
1532313130,9,5
1532313605,4,7
1532314088,6,10
1532314564,14,7
1532315050,4,4
1532315525,6,7
1532316006,7,7
1532316487,7,7
1532316969,14,9
1532317444,6,8
1532317930,9,8
1532318418,5,8
1532318888,5,6
1532319366,9,10
1532319845,5,8
1532320330,9,7
1532320808,8,7
1532321284,8,10
1532321768,9,10
1532322247,8,6
1532322728,7,5
1532323207,5,4
1532323686,4,4
1532324165,4,8
1532324649,7,5
1532325124,7,7
1532325617,6,9
1532326090,10,7
1532326569,5,6
1532327045,5,6
1532327528,7,9
1532328005,7,5
1532328488,7,6
1532328966,6,3
1532329450,3,6
1532329927,6,7
1532330406,5,6
1532330885,7,6
1532331369,7,11
1532331848,9,5
1532332325,4,6
1532332817,7,6
1532333289,9,7
1532334009,7,12
1532334485,10,3
1532334964,2,0
1532352965,0,2
1532353444,2,0
1532385852,0,1
1532386326,1,0
1532393526,0,1
1532394020,1,4
1532394486,7,14
1532394964,19,6
1532395446,4,6
1532395929,8,9
1532396404,5,7
1532396885,12,18
1532397365,10,7
1532397851,6,9
1532398325,11,7
1532398805,9,9
1532399292,8,10
1532399767,12,9
1532400244,9,7
1532400729,9,8
1532401218,4,6
1532401686,6,8
1532402169,9,8
1532402647,7,6
1532403127,9,10
1532403606,6,9
1532404087,9,11
1532404565,8,4
1532405046,6,8
1532405526,7,7
1532406009,9,7
1532406485,6,6
1532406966,5,9
1532407446,8,4
1532407927,5,8
1532408415,8,9
1532408887,4,8
1532409609,9,6
1532410086,5,7
1532410564,6,7
1532411046,7,7
1532411526,17,17
1532412017,8,7
1532412486,7,5
1532412964,3,6
1532413447,8,9
1532413927,9,8
1532414404,7,4
1532414885,7,4
1532415366,5,8
1532415845,9,5
1532416325,5,6
1532416806,5,3
1532417289,5,7
1532417765,7,9
1532418245,7,7
1532418728,6,11
1532419218,10,3
1532419686,5,5
1532420165,3,5
1532420647,5,4
1532421128,3,0
1532421604,1,1
