DateTime,AddedIPs,RemovedIPs
1532017922,57,57
1532018521,71,71
1532019721,77,77
1532020922,72,72
1532022121,81,81
1532023322,77,77
1532023922,37,37
1532024521,65,65
1532025121,48,48
1532025722,42,42
1532026321,43,43
1532026921,32,32
1532027522,20,20
1532028122,64,64
1532028722,78,78
1532029322,43,43
1532029922,52,52
1532030521,41,41
1532031121,49,49
1532031722,54,54
1532032322,53,53
1532032922,52,52
1532033522,37,37
1532034122,65,65
1532034722,82,82
1532035322,67,67
1532035921,79,80
1532036522,59,58
1532037122,42,42
1532037722,56,56
1532038922,73,74
1532039522,47,46
1532040122,64,64
1532041322,81,81
1532041921,60,60
1532043121,85,85
1532043721,46,46
1532044922,75,75
1532045523,39,39
1532046123,46,46
1532047321,70,70
1532048522,70,70
1532049121,76,76
1532049723,63,63
1532050922,86,86
1532051522,73,73
1532052122,85,85
1532053321,96,96
1532053922,33,34
1532054521,45,45
1532055721,75,74
1532056322,62,62
1532056922,51,51
1532057522,28,28
1532058122,17,17
1532058722,68,68
1532059322,54,54
1532060522,77,77
1532061722,80,80
1532062322,52,52
1532062921,45,45
1532064121,79,79
1532064722,70,70
1532065321,68,69
1532065921,72,71
1532066522,74,74
1532067122,61,61
1532067722,65,65
1532068922,72,72
1532069522,84,84
1532070121,77,77
1532070722,58,58
1532071322,66,66
1532071921,38,38
1532072521,74,74
1532073122,68,68
1532073722,71,71
1532074922,80,80
1532075522,68,68
1532076122,37,37
1532076722,53,53
1532077323,65,65
1532078523,93,93
1532079721,84,84
1532080921,77,77
1532081522,71,71
1532082122,47,47
1532083322,83,83
1532083922,23,23
1532084522,62,62
1532085722,77,78
1532086321,25,25
1532086923,37,36
1532087522,79,79
1532088124,67,67
1532088722,63,63
1532089322,74,74
1532090522,89,89
1532091722,79,79
1532092322,54,54
1532092922,69,69
1532094122,85,85
1532095322,84,84
1532095921,62,63
1532096522,80,79
1532097722,69,69
1532098922,57,57
1532100122,50,50
1532100723,29,29
1532101321,64,64
1532102522,80,80
1532103121,54,54
1532103721,62,62
1532104922,76,76
1532105522,67,67
1532106122,50,50
1532107321,62,62
1532107922,42,42
1532108522,64,64
1532109722,95,95
1532110322,41,41
1532110923,85,85
1532112121,87,87
1532113322,78,78
1532114522,77,77
1532115722,90,90
1532116921,89,89
1532117522,55,55
1532118122,65,65
1532119322,67,67
1532120522,88,88
1532121122,81,81
1532121721,65,65
1532122322,75,75
1532122921,77,77
